window,state,year,label,dpd_pareto,dpd_hillclimb,eod_pareto,eod_hillclimb,pp_pareto,pp_hillclimb,accgap_pareto,accgap_hillclimb,acc_pareto,acc_hillclimb
0,CA,2015,baseline_same,0.03930332635272554,0.005857417072370363,0.02265994425112204,0.12662531224204648,0.030811002242946528,0.14055592687703,0.0702597852130562,0.01543985856402419,0.7262,0.779
1,CA,2016,temporal_1yr,0.047193166329354386,0.005663747883193626,0.012263868041400852,0.10271535124953643,0.08968049795347643,0.12791424262012496,0.022319400272603374,0.011315879145842866,0.7924,0.7874
2,CA,2017,temporal_2yr,0.046206552102500964,0.006558327593573332,0.01286753509708323,0.13424218841530022,0.09359530946229466,0.12205427262056179,0.02615469451400876,0.029953765852126057,0.7756,0.7774
3,CA,2018,temporal_3yr,0.0710894675687509,0.0072094060889882905,0.0014547209188245647,0.14713275459211245,0.10790298997878922,0.15145523708421804,0.00567706812240909,0.031460934292660836,0.7794,0.7666
4,MS,2018,demo_shift_MS,0.06050973405214677,0.006761160964697699,0.0779421483362803,0.19575769590698153,0.1985413841991543,0.2153318036409277,0.0008091372334196878,0.030423143885436765,0.7024,0.7438
5,HI,2018,demo_shift_HI,0.047819953358836376,0.0015864865502568937,0.008718997434063569,0.09513726736886131,0.12118693375446765,0.16254924753395295,0.003273292211593337,0.015233256379212023,0.7346,0.741
6,WV,2018,demo_shift_WV,0.07799059303967232,0.004504823060168028,0.05868394554479325,0.20206150667501344,0.2006121789387631,0.2458605910218813,0.0031547262389388653,0.029416681024839186,0.7058,0.7536
7,ND,2018,feature_drift_ND,0.08484279872321765,0.005858717710765959,0.0591328938106688,0.24888506488073842,0.2458258670641234,0.25739752998031146,0.0017448678856606392,0.04837291834507795,0.7048260381593715,0.7081930415263749
8,NY,2018,feature_drift_NY,0.04748783074133711,0.003276551193452215,0.0128568784141362,0.11134808077593461,0.09563593932322056,0.12911148009421936,0.02842040534380108,0.02167032905841837,0.763,0.766
9,FL,2018,feature_drift_FL,0.03791147344858842,0.0002969270057915918,0.047181808258663055,0.1249806284045302,0.20418922278075458,0.23877132545931756,0.007825861364732845,0.03133501298194352,0.7708,0.7566
10,PR,2018,combined_PR,0.024793665986583058,0.005802669828764928,0.021945279784978414,0.03963306322788507,0.07774601399141559,0.13578290500041054,0.008773918373172762,0.029911085363089174,0.614,0.775
11,AK,2018,combined_AK,0.04074235044207733,0.005639121914588263,0.014486993826986191,0.1363522331015482,0.048461862621154705,0.10327290774213771,0.07674246359741388,0.04531678350812407,0.7089678510998308,0.7445008460236887
